,sentence1,sentence2,label
0,No of in.,of in.,1
1,"A of, after died, became a of, as gathered in to mark the of new.",is the new of the.,0
2,"was already approved to treat the sickest, and the said, , it will discuss with federal the of prescribing the for more.",can be used to treat breast.,0
3,", chief at, a medical that helps sustain the 2-year-old in (formerly), said that so far about 1,500 have received.",The previous of was.,0
4,"A is due in later charged with the 26 ago of a whose was the first to be featured on's . , 16, was walking to her's in, , on 30 1983 when she disappeared . Her was later found in a close to her . , 50, has been charged with and is due before magistrates later.",is accused of having stabbed a.,1
5,"said, , that it has barred cleric, , from returning to the from, where he was released by after being detained for 24.","was detained, but was released.",0
6,"Nearly 4 million who have at least one who entered the illegally were born in the and are as a, according to the conducted by the . That's about three of the estimated 5.5 million of illegal inside the, according to the . About 1.8 million of undocumented live in, the found.",Three of illegal have.,1
7,"Like the, are also dismayed that killed a called by in in of bringing all the together.",had murdered in.,1
8,"-- A newly declassified of the's to the on harsh shows that the small of who wrote authorizing controversial were operating not on their own but with from top, including then-Vice and national . At the same, the narrative suggests that and then-Secretary of were largely left out of the decision-making.",was the of.,0
9,"Only a after it had no on upping the of its, early announced it was boosting the to 250MB to follow similar by such as, , and.",'s has raised its to 250MB.,0
10,", 42, was born to, and was raised as a .'s guarantees of, but by, all ethnic are . converted to at 26, and after some bureaucratic had her named legally changed in 1999 . However, on her national, the retained her stated as . In to have her changed, the said would have to obtain a of from the.",'s are from.,0
11,"9 , 1989, the the fell and the changed forever . Not even the most astute saw it coming . As's foreign in the late of 1989, gave the to let visiting use his to do a 400-mile around the, a now seen as the of the for hard-line in.",The was torn down in 1989.,0
12,", on, said it found``extensive""additional at its 250,000-barrel-per-day.","produces 250,000 per.",0
13,fall back as lifted,.,1
14,", the, threw for 368 and five as the visiting 63-27.","The threw for 413 and three, and then ran to the two more.",1
15,", a former boxing who suffered a severe in a 2001, has died at 50 . His said the one-time had died at his in, , of related to he suffered in the . was in a for a after the 9 2001 against which was stopped in the 10th . said he was``in a better now""after announcing on he had died overnight in his.",was a.,0
16,"is likely to remain in at the in her native until her next on 20, where she is being held without, which would prevent her attending the on even if she still had to perform . has been in since the of the after an with outside a, which she had been ejected from . She is charged with disorderly and resisting.","once reached the of ``"".",1
17,"Since 1987, however, has taken to dramatically reduce the, including stepped-up and the of that led to large-scale.",In the early 1990s began to take to save the.,1
18,"has received 11 to host the 2018 and 2022, an international contested by the's national . The vying to host the are, ,, ,, ,, and, who have individual and the joint are from and . are for 2018 and 2022 and two are just for the 2022 . and are vying just for the 2022 . The two winning will be chosen on 2010 by the 24-man of .:``We are very pleased about the fantastic of in our, with all initial confirming their . ''",is the of.,0
19,settled $1.32 lower at $42.83 a.,"the light American lowered to the 1.32, to 42.83 the.",1
20,", killed 15, most of them female, on in a that began at a near in southern and ended in a nearby, where he then killed himself after the wounded him . The left, which tightened tough after a similar at a seven ago, struggling to understand the that had again befallen it, a with relatively little violent . In 2002, a killed 16 before killing himself at a in, in eastern.",In 2002 near a 16.,1
21,"Many are riding on the of's in and, which announced with much last at the 50th of.",is located in.,1
22,"virus infects the central nervous, causing encephalopathy and ultimately . Early of in are nonspecific, consisting of, , and general.",is fatal in.,0
23,were showing a most due to export of and of sold including.,often entered with both and.,1
24,"The of by early, roughly 10,000 ago, was also harmful to many natural as they were systematically destroyed and replaced with artificial.","existed 10,000 ago.",0
