,sentence,label
0,"Our won't buy this, let alone the next we propose.",1
1,One more and I'm giving up.,1
2,One more pseudo or I'm giving up.,1
3,"The more we study, the they get.",1
4,by the are getting murkier.,1
5,I'll fix you a.,1
6,Fred watered the flat.,1
7,coughed his out of the.,1
8,We're dancing the away.,1
9,hammered the flat.,1
10,The laughed the off the.,1
11,The solid.,1
12,rolled out of the.,1
13,The watered the flat.,1
14,The watered the.,1
15,broke the into.,1
16,broke the.,1
17,They drank the.,1
18,They drank the.,0
19,The talked us into a.,1
20,The talked us.,0
21,We yelled ourselves.,1
22,We yelled ourselves.,0
23,We yelled.,0
24,coughed himself into a.,1
25,coughed himself.,0
26,coughed us into a.,0
27,followed the into the.,1
28,We drove 5 from to.,1
29,tracked the to its.,1
30,danced across the.,1
31,urinated out the.,1
32,coughed out the.,1
33,bled on the.,1
34,The leaked through the into the below.,1
35,ate off the.,1
36,from the.,1
37,This flat easily.,1
38,They made him.,1
39,They made him angry.,1
40,They caused him to become angry by making him.,0
41,They caused him to become by making him.,0
42,They made him to.,0
43,They made him into a.,1
44,The rumbled through the.,1
45,The rumbled down the.,1
46,The whistled past the.,1
47,The groaned up the.,1
48,The honked down the.,0
49,The barked out of the.,0
50,The barked its out of the.,1
51,whistled his past the.,1
52,The vanished into the.,1
53,disappeared down the.,1
54,The went into the by vanishing.,0
55,The went into the and thereby vanished.,1
56,The is tall and wide.,1
57,The is tall and tall.,0
58,This is taller and wider than that one.,1
59,This got and wider than that one.,1
60,This got and.,1
61,This is taller and.,0
62,This got than that one.,0
63,This is than that one.,0
64,floated into the.,1
65,floated into the for.,0
66,pushed off the for.,0
67,floated down the for.,1
68,floated down the.,1
69,pushed along the for.,1
70,pushed along the.,1
71,The zigzagged down the.,1
72,The stretched over the.,1
73,The stretched the over the.,1
74,The kept the stretched over the.,1
75,cut himself free.,1
76,got free by cutting his.,1
77,cried himself to sleep.,1
78,cried to sleep.,0
79,squeezed himself through the.,1
80,sang himself to sleep.,1
81,squeezed the through the.,1
82,sang to sleep.,1
83,The rumbled itself to the.,0
84,"If the, it could ring itself silly.",1
85,She yelled.,0
86,cried to sleep.,0
87,The bled to.,1
88,"He coughed awake and we were all overjoyed, especially.",1
89,"coughed, rubbing his and cursing under his.",1
90,coughed himself awake on the of the where he and had their.,1
91,yawned himself.,1
92,She coughed herself awake as the landed on her.,1
93,The wriggled onto the.,1
94,The melted onto the.,1
95,The wriggled itself loose.,0
96,wriggled himself loose.,1
97,wriggled her.,1
98,The off spinning shook itself loose.,1
99,"The more you eat, the less you want.",1
100,"If you eat more, you want correspondingly less.",1
101,"When you eat more, you want correspondingly less.",1
102,"As you eat more, you want correspondingly less.",1
103,"The most you want, the least you eat.",0
104,"The angrier gets, the more Fred admires her.",1
105,"The more that you eat, the less that you want.",1
106,"The that gets, the more that admires her.",1
107,"I think that the more you eat, the less you want.",1
108,"I'm not shocked by the that the more you eat, the less you want.",1
109,"It is obvious that the more you eat, the less you want.",1
110,"It is not entirely clear if the more you eat, the less you want.",1
111,"I want to explain exactly why the more you eat, the less you want.",1
112,"I demand that the more, the more he pays.",1
113,"I demand that the more, the more he pay.",0
114,"I demand that pay more, the more he eats.",1
115,"I demand that pays more, the more he eat.",0
116,"You get angrier, the more we eat, don't you.",1
117,"You get angrier, the more we eat, don't we.",0
118,"The it has rained, how much faster a that appears in the?",0
119,"The it has rained, how much faster a flow appears in the?",1
120,"The it rains, how much that do you run?",0
121,"The it rains, how much faster do you run?",1
122,"The it rains, how much faster a do you see in the?",1
123,"The it rains, how much faster a that do you see in the?",0
124,"When it rains harder, how much faster a flow appears in the?",1
125,"As it rains harder, how much faster a flow appears in the?",1
126,"As it rains harder, how much faster a that appears in the?",0
127,"When it rains harder, how much faster a that appears in the?",0
128,"How much has it rained, the a you see in the?",1
129,"How much has it rained, when you see a faster in the?",1
130,"The more, the keep your about it.",0
131,"The more, the more keeps his big about it ,?",0
132,"When eats more, keep your ,?",1
133,"As eats more, keep your ,?",1
134,"Keep your, the more ,?",1
135,"keep your, the more ,?",1
136,"I can well imagine the more him, the him getting.",0
137,can well imagine getting fat.,1
138,"can well imagine the more he eats, the getting.",0
139,"Fred can well imagine getting fatter, the more he eats.",1
140,"It is important the more you eat, the more careful to be.",0
141,"It is important for the more you eat, the more careful to be.",0
142,"It is important the more you to eat, the more careful to be.",0
143,"It is important the more you eat, the more careful you to be.",0
144,"It is important the more you eat, the more careful for you to be.",0
145,"It is important for the more you to eat, the more careful to be.",0
146,"It is important for the more you to eat, the more careful for you to be.",0
147,"It is important the more you to eat, the more careful for you to be.",0
148,"It is important for the more you eat, the more careful you to be.",0
149,"It is important for you to be more careful, the more you eat.",1
150,"It is important to be more careful, the more you eat.",1
151,I can well imagine quickly answering the.,0
152,I can well imagine with a destroying the.,0
153,"I can well imagine if he eats more, him getting.",0
154,"It is not entirely obvious if, listens to the, she gets depressed.",0
155,"It is not entirely obvious whether, listens to the, she gets depressed.",0
156,Mary to the and she gets depressed.,1
157,"If listens to the, she gets depressed.",1
158,"When listens to the, she gets depressed.",1
159,gets depressed if she listens to the.,1
160,gets depressed when she listens to the.,1
161,"The more she looked at, the got.",1
162,"The more looked at, she got angrier and angrier.",0
163,gets depressed and she listens to the.,1
164,"The higher the are, the lower his are.",1
165,"The higher the, the lower his.",1
166,"His are lower, the higher the.",1
167,"His are lower, the higher the are.",1
168,"His lower, the higher the.",0
169,"His lower, the higher the are.",0
170,"The more obnoxious is, the less you should pay to him.",1
171,"The more obnoxious, the less you should pay to him.",0
172,"The more is obnoxious, the less you should pay to him.",1
173,"The more obnoxious, the less you should pay to him.",0
174,His are always lower than.,1
175,was lots more obnoxious than was.,1
176,"You should always lock your, no how fancy the might be.",1
177,"You should always lock your, no how fancy the.",1
178,"I don't plan to lock the, no how fancy this is.",1
179,"I don't plan to lock the, no how fancy this.",0
180,"I'm going out, whatever the.",1
181,"I'm going out, wherever that might be.",1
182,"I'm going out, wherever that.",0
183,The more says that has helped to discover the less I believe her.,1
184,The more knows a that eats the she gets.,0
185,The he goes to a when he gets the more he eats.,0
186,"The that that he gets him, the more he eats.",0
187,"The more I ask to whom he will give, the more he reads.",0
188,The more I ask what he will give to the more he reads.,0
189,The more carefully he the the he'll be.,1
190,The more carefully he knows a that worded the the he'll be.,0
191,"The more, the he gets.",1
192,"The more geniuses, the he gets.",0
193,"The more you say will buy, the I'll be.",1
194,"The more you say that will buy, the I'll be.",0
195,"The more you say that right after the opens will buy, the I'll be.",1
196,"The more I talk to, the less about I am inclined to think has taught him to appreciate.",1
197,"The more he eats, the he knows a that gets.",0
198,"The more he eats, the he goes to a when he gets.",0
199,"The more he eats, the that that he gets really me.",0
200,"The more he reads, the more I wonder to whom he will give.",0
201,"The more he reads, the more I wonder what he will give to.",0
202,"The you call, the more carefully I know a that will the.",0
203,"The richer gets, the more.",1
204,"The he gets, the more geniuses.",0
